protocol,episode,total_reward,steps,energy_used,path_len,unique_cells,osc_events,sigma_ema_mean,sigma_ema_std,qse_surplus_mean,phase,adapt_lag,sigma_delta,cue,cue_follow_rate,success_rate,avg_return,avg_steps,avg_spl
A_solo,1,36.199999999999974,200,0.2050699999999981,2,3,0,nan,nan,nan,,,,,,,,,
A_solo,2,7.600000000000004,200,0.1764700000000019,1,2,0,nan,nan,nan,,,,,,,,,
A_solo,3,29.79999999999995,200,0.2215899999999984,2,2,0,nan,nan,nan,,,,,,,,,
A_solo,4,30.199999999999964,200,0.22117999999999838,2,3,0,nan,nan,nan,,,,,,,,,
A_solo,5,36.999999999999986,200,0.18512000000000128,2,2,0,nan,nan,nan,,,,,,,,,
C1_context_switch,1,27.199999999999935,150,0.1558700000000004,,,0,nan,,,NE,nan,nan,,,,,,
C1_context_switch,1,42.10000000000006,300,0.3062000000000007,,,0,nan,,,SW,nan,nan,,,,,,
C1_context_switch,1,56.10000000000026,450,0.45174000000000136,,,0,nan,,,C,nan,nan,,,,,,
C1_context_switch,2,25.39999999999994,150,0.15190999999999966,,,0,nan,,,NE,nan,nan,,,,,,
C1_context_switch,2,41.30000000000005,300,0.306329999999999,,,0,nan,,,SW,nan,nan,,,,,,
C1_context_switch,2,54.10000000000023,450,0.45087,,,0,nan,,,C,nan,nan,,,,,,
C1_context_switch,3,28.39999999999993,150,0.1506700000000003,,,0,nan,,,NE,nan,nan,,,,,,
C1_context_switch,3,44.40000000000009,300,0.29763000000000095,,,0,nan,,,SW,nan,nan,,,,,,
C1_context_switch,3,56.80000000000027,450,0.44226000000000165,,,0,nan,,,C,nan,nan,,,,,,
C2_memory_cued,1,0.0,1,0.0,0,1,0,nan,,nan,,,,C,0.0,,,,
C2_memory_cued,2,6.0710678118654755,10,0.0,8,9,0,nan,,nan,,,,SE,0.8,,,,
C2_memory_cued,3,6.0710678118654755,12,0.0,9,10,0,nan,,nan,,,,SW,0.6666666666666666,,,,
C2_memory_cued,4,6.0710678118654755,12,0.0,9,10,0,nan,,nan,,,,NW,0.6666666666666666,,,,
C2_memory_cued,5,0.0,1,0.0,0,1,0,nan,,nan,,,,C,0.0,,,,
PPO_compare,summary,,,,,,,,,,,,,,,0.12,0.6957097479583682,71.08,0.16700686813186813
Handcrafted_compare,summary,,,,,,,,,,,,,,,0.23,0.8048490951121294,62.935,0.22395165945165943
