group,value,model,episodes,success,success_CI_low_95,success_CI_high_95,SPL,avg_steps,avg_return
obstacles,0.1,PPO baseline,400,0.1025,0.07277613795281643,0.13222386204718356,0.12749175824175826,72.2675,-0.9977210486650253
obstacles,0.1,ÉMILE-MINI,400,0.645,0.5981056943755428,0.6918943056244572,0.6552117982206991,35.4225,0.9237111215153254
obstacles,0.2,PPO baseline,400,0.0875,0.059808496339129574,0.11519150366087041,0.12204054972804972,73.385,-2.934081061210814
obstacles,0.2,ÉMILE-MINI,400,0.47,0.42108827952320627,0.5189117204767937,0.4734696191321578,47.27,-1.6541212920690804
obstacles,0.3,PPO baseline,400,0.0975,0.06842953431745546,0.12657046568254454,0.12447137584637585,72.7725,-3.890748223341405
obstacles,0.3,ÉMILE-MINI,400,0.405,0.3568925795744565,0.45310742042554353,0.41403718555266544,51.3875,-2.7652880705744436
quadrant,C,PPO baseline,400,0.065,0.04084046565018275,0.08915953434981726,0.08455555555555555,75.045,-3.086920753029657
quadrant,C,ÉMILE-MINI,400,0.475,0.42606128832917645,0.5239387116708235,0.47050212216833737,46.385,-2.076691378069604
quadrant,NE,PPO baseline,400,0.0875,0.059808496339129574,0.11519150366087041,0.12204054972804972,73.385,-2.934081061210814
quadrant,NE,ÉMILE-MINI,400,0.47,0.42108827952320627,0.5189117204767937,0.4734696191321578,47.27,-1.6541212920690804
quadrant,NW,PPO baseline,400,0.065,0.04084046565018275,0.08915953434981726,0.11083333333333333,74.9275,-2.2693230929801462
quadrant,NW,ÉMILE-MINI,400,0.455,0.4061988534970745,0.5038011465029255,0.42834581040653363,48.255,-1.8817021483562781
quadrant,SE,PPO baseline,400,0.0725,0.047087228112620214,0.09791277188737978,0.081875,74.405,-2.6784925012653775
quadrant,SE,ÉMILE-MINI,400,0.475,0.42606128832917645,0.5239387116708235,0.48423125975331854,46.805,-1.6729830958829834
quadrant,SW,PPO baseline,400,0.0575,0.03468603990973948,0.08031396009026052,0.06963095238095239,75.52,-2.322812102080135
quadrant,SW,ÉMILE-MINI,400,0.455,0.4061988534970745,0.5038011465029255,0.44205512447598866,48.4825,-1.8387915876122305
